Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
Parker-Hannifin,PH,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",30/11/1985,76334,
Paychex Inc.,PAYX,reports,Information Technology,Internet Software & Services,"Penfield, New York",,723531,1971
PayPal,PYPL,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",20/07/2015,1633917,
Pentair plc,PNR,reports,Industrials,Industrial Machinery,"Worsley, UK",01/10/2012,77360,
People's United Financial,PBCT,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",13/11/2008,1378946,
PepsiCo Inc.,PEP,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,1898
PerkinElmer,PKI,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",31/05/1985,31791,
Perrigo,PRGO,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",19/12/2011,1585364,
Pfizer Inc.,PFE,reports,Health Care,Pharmaceuticals,"New York, New York",,78003,1849
Philip Morris International,PM,reports,Consumer Staples,Tobacco,"New York, New York",31/03/2008,1413329,
Phillips 66,PSX,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",01/05/2012,1534701,
Pinnacle West Capital,PNW,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
Pioneer Natural Resources,PXD,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",24/09/2008,1038357,
PNC Financial Services,PNC,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",30/04/1988,713676,
Polo Ralph Lauren Corp.,RL,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",02/02/2007,1037038,
PPG Industries,PPG,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879,1883
PPL Corp.,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,
Principal Financial Group,PFG,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",22/07/2002,1126328,
Procter & Gamble,PG,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424,1837
Progressive Corp.,PGR,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",04/08/1997,80661,
Prologis,PLD,reports,Real Estate,Industrial REITs,"San Francisco, California",17/07/2003,1045609,
Prudential Financial,PRU,reports,Financials,Life & Health Insurance,"Newark, New Jersey",22/07/2002,1137774,
Public Serv. Enterprise Inc.,PEG,reports,Utilities,Electric Utilities,"Newark, New Jersey",,788784,
Public Storage,PSA,reports,Real Estate,Specialized REITs,"Glendale, California",19/08/2005,1393311,
Pulte Homes Inc.,PHM,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30/04/1984,822416,
PVH Corp.,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",15/02/2013,78239,
Qorvo,QRVO,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",11/06/2015,1604778,
Quanta Services Inc.,PWR,reports,Industrials,Construction & Engineering,"Houston, Texas",01/07/2009,1050915,
QUALCOMM Inc.,QCOM,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985
Quest Diagnostics,DGX,reports,Health Care,Health Care Services,"Madison, New Jersey",12/12/2002,1022079,
Raymond James Financial Inc.,RJF,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",20/03/2017,720005,
Raytheon Co.,RTN,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122,1922
Realty Income Corporation,O,reports,Real Estate,Retail REITs,"San Diego, California",07/04/2015,726728,
Red Hat Inc.,RHT,reports,Information Technology,Systems Software,"Raleigh, North Carolina",27/07/2009,1087423,
Regency Centers Corporation,REG,reports,Real Estate,Retail REITs,"Jacksonville, Florida",02/03/2017,910606,
Regeneron,REGN,reports,Health Care,Biotechnology,"Tarrytown, New York",01/05/2013,872589,
Regions Financial Corp.,RF,reports,Financials,Regional Banks,"Birmingham, Alabama",28/08/1998,1281761,
Republic Services Inc,RSG,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",05/12/2008,1060391,
ResMed,RMD,reports,Health Care,Health Care Equipment,"San Diego, California",26/07/2017,943819,
Robert Half International,RHI,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",05/12/2000,315213,
Rockwell Automation Inc.,ROK,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,
Rollins Inc.,ROL,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",01/10/2018,84839,
Roper Technologies,ROP,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",23/12/2009,882835,
Ross Stores,ROST,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",21/12/2009,745732,
Royal Caribbean Cruises Ltd,RCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",05/12/2014,884887,
Salesforce.com,CRM,reports,Information Technology,Internet Software & Services,"San Francisco, California",15/09/2008,1108524,
SBA Communications,SBAC,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",01/09/2017,1034054,
Schlumberger Ltd.,SLB,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",31/03/1965,87347,1926
Seagate Technology,STX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",02/07/2012,1137789,
Sealed Air,SEE,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100,
Sempra Energy,SRE,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,
Sherwin-Williams,SHW,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",30/06/1964,89800,1866
Simon Property Group Inc,SPG,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",26/06/2002,1063761,
Skyworks Solutions,SWKS,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",12/03/2015,4127,
SL Green Realty,SLG,reports,Real Estate,Office REITs,"New York, New York",20/03/2015,1040971,
Snap-on,SNA,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",30/09/1982,91440,
Southern Co.,SO,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,
Southwest Airlines,LUV,reports,Industrials,Airlines,"Dallas, Texas",01/07/1994,92380,
"S&P Global, Inc.",SPGI,reports,Financials,Financial Exchanges & Data,"New York, New York",,64040,
Stanley Black & Decker,SWK,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",30/09/1982,93556,
Starbucks Corp.,SBUX,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
State Street Corp.,STT,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,
Stryker Corp.,SYK,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,310764,
SunTrust Banks,STI,reports,Financials,Regional Banks,"Atlanta, Georgia",31/05/1988,750556,
SVB Financial,SIVB,reports,Financials,Regional Banks,"Santa Clara, California",19/03/2018,719739,
Symantec Corp.,SYMC,reports,Information Technology,Application Software,"Mountain View, California",25/03/2003,849399,
Synchrony Financial,SYF,reports,Financials,Consumer Finance,"Stamford, Connecticut",18/11/2015,1601712,
Synopsys Inc.,SNPS,reports,Information Technology,Application Software,"Mountain View, California",16/03/2017,883241,
Sysco Corp.,SYY,reports,Consumer Staples,Food Distributors,"Houston, Texas",31/12/1986,96021,
T. Rowe Price Group,TROW,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
Take-Two Interactive,TTWO,reports,Communication Services,Interactive Home Entertainment,"New York, New York",19/03/2018,946581,
"Tapestry, Inc.",TPR,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017
Target Corp.,TGT,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",31/12/1976,27419,
TE Connectivity Ltd.,TEL,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",17/10/2011,1385157,
TechnipFMC,FTI,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",05/06/2009,1681459,
Teleflex Inc,TFX,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",18/01/2019,96943,1943
Texas Instruments,TXN,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
Textron Inc.,TXT,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",31/12/1978,217346,
Thermo Fisher Scientific,TMO,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745,2006
Tiffany & Co.,TIF,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",21/06/2000,98246,
"Twitter, Inc.",TWTR,reports,Communication Services,Interactive Media & Services,"San Francisco, California",07/06/2018,1418091,
TJX Companies Inc.,TJX,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",30/09/1985,109198,
Torchmark Corp.,TMK,reports,Financials,Life & Health Insurance,"McKinney, Texas",30/04/1989,320335,
Total System Services,TSS,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",02/01/2008,721683,
Tractor Supply Company,TSCO,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",24/01/2014,916365,
TransDigm Group,TDG,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",03/06/2016,1260221,
The Travelers Companies Inc.,TRV,reports,Financials,Property & Casualty Insurance,"New York, New York",21/08/2002,86312,
